Contrato,Unidade Gestora,Aditivo,Tipo de Contrato,Empresa,Valor,link_id,url,pdf_url_contrato,pdf_file_contrato
059/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,LIGA HOSPITALAR EIRELI,"R$ 65.500,00",1583,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1583,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1583/1573600566.pdf,1573600566.pdf
058/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,NEWEASY SOLUÇÕES EM TECNOLOGIA LTDA,"R$ 14.574,00",1593,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1593,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1593/1574439285.pdf,1574439285.pdf
057/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,L. P. DE OLIVEIRA ME,"R$ 1.920,00",1592,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1592,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1592/1574450714.pdf,1574450714.pdf
056/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,PHILIPS MEDICAL SYSTEMS LTDA,"R$ 219.000,00",1582,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1582,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1582/1573256602.pdf,1573256602.pdf
055/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,EUREKA EQUIPAMENTOS E MATERIAIS ELETRO ELETRONICOS LTDA,"R$ 156.099,84",1570,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1570,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1570/1572445078.pdf,1572445078.pdf
054/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,EBERSON S. GONÇALVES - ME,"R$ 62.999,98",1569,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1569,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1569/1572397007.pdf,1572397007.pdf
053/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,MJX BRASIL COMÉRCIO E SERVIÇOS EIRELI,"R$ 7.905,00",1581,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1581,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1581/1573260169.pdf,1573260169.pdf
052/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,MASTER DE CACHOEIRO MOVEIS E EQUIPAMENTOS PARA ESCRITORIO EIRELI - EPP,"R$ 4.920,00",1580,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1580,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1580/1573260365.pdf,1573260365.pdf
051/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,SUPER CENTER CAMPOS E PRODUTOS MÉDICOS EIRELI,"R$ 6.120,00",1559,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1559,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1559/1571465959.pdf,1571465959.pdf
050/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,GFE DO BRASIL LTDA,"R$ 358.000,00",1548,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1548,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1548/1570208725.pdf,1570208725.pdf
049/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MEDSYSTEM MANUTENÇÃO E SERVIÇOS HOSPITALARES,"R$ 223.227,00",1531,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1531,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1531/1568672802.pdf,1568672802.pdf
048/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,PHILIPS MEDICAL SYSTEMS LTDA,"R$ 50.727,36",1533,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1533,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1533/1568859243.pdf,1568859243.pdf
047/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,"R$ 124.337,90",1525,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1525,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1525/1567807243.pdf,1567807243.pdf
046/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,ECO MEDICE DISTRIBUIDORA DE PRODUTOS MÉDICO HOSPITALARES EIRELI,"R$ 154.436,00",1522,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1522,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1522/1567459508.pdf,1567459508.pdf
045/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,"R$ 356.613,60",1518,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1518,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1518/1567000933.pdf,1567000933.pdf
044/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MARTELL COMÉRCIO DE PRODUTOS HOSPITALARES LTDA,"R$ 81.960,00",1517,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1517,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1517/1567028307.pdf,1567028307.pdf
043/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,WHITE MARTINS GASES INDUSTRIAIS LTDA,"R$ 116.786,00",1521,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1521,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1521/1567472319.pdf,1567472319.pdf
042/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,MLX COMÉRCIO DE GAZES LTDA,"R$ 405.216,00",1505,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1505,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1505/1565983122.pdf,1565983122.pdf
041/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,HIS TECNOLOGIA E SISTEMAS LTDA,"R$ 4.149.619,92",1504,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1504,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1504/1565909792.pdf,1565909792.pdf
039/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,L. P. DE OLIVEIRA ME,"R$ 97.836,00",1540,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1540,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1540/1569359822.pdf,1569359822.pdf
038/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,L. P. DE OLIVEIRA ME,"R$ 303.990,00",1516,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1516,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1516/1566665793.pdf,1566665793.pdf
037/2019-FMS,Fundo Municipal de Saúde – FMS,1º Aditivo,Prestação de Serviços,ACF DA SILVA LTDA ME,"R$ 2.099.752,00",1591,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1591,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1591/1574204557.pdf,1574204557.pdf
037/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,ACF DA SILVA LTDA ME,"R$ 2.099.752,00",1500,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1500,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1500/1565208864.pdf,1565208864.pdf
036/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,NEWEASY SOLUÇÕES EM TECNOLOGIA LTDA,"R$ 129.993,60",1490,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1490,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1490/1563632466.pdf,1563632466.pdf
035/2019-FMS,Fundo Municipal de Saúde – FMS,1º Aditivo,Aquisição de Material,PROHOSP DISTRIBUIDORA DE MEDICAMENTOS LTDA,,1631,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1631,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1631/1578156904.pdf,1578156904.pdf
035/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,PROHOSP DISTRIBUIDORA DE MEDICAMENTOS LTDA,"R$ 5.682.480,00",1499,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1499,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1499/1565149505.pdf,1565149505.pdf
034/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MED SAUDE SERVIÇOS DE INTERNAÇÕES DOMICILIARES LTDA,"R$ 243.846,00",1489,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1489,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1489/1563608598.pdf,1563608598.pdf
033/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,ABARR - ASSOSCIAÇÃO BENEFICIENTE DOS AMIGOS DO RECANTO RENASCER,"R$ 16.799,40",1502,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1502,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1502/1565686140.pdf,1565686140.pdf
032/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,ANTONIO SILVA BATISTA 00716349752 ME,"R$ 8.640,00",1482,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1482,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1482/1562772275.pdf,1562772275.pdf
031/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,L. N. CARVALHO COMÉRCIO E SERVIÇOS LTDA ME,"R$ 42.270,00",1473,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1473,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1473/1561625805.pdf,1561625805.pdf
030/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,LABORATÓRIO TAFURI DE PATOLOGIA LTDA EPP,"R$ 454.999,94",1472,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1472,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1472/1561646027.pdf,1561646027.pdf
029/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Obras e Serviços de Engenharia,P.P.E. CONSTRUÇÃO CIVIL EIRELI,"R$ 2.993.270,58",1471,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1471,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1471/1561505083.pdf,1561505083.pdf
028/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,E. J. I. FIEL TURISMO LTDA ME,"R$ 1.279.999,92",1464,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1464,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1464/1560369418.pdf,1560369418.pdf
027/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,HEALTH TECH FARMACIA DE MANIPULAÇÃO LTDA,"R$ 3.450,00",1458,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1458,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1458/1559685846.pdf,1559685846.pdf
026/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,LABORATÓRIO ESPECIALIZADO EM LIQUIDO CEFALORAQUER LTDA,"R$ 11.400,00",1481,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1481,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1481/1562628716.pdf,1562628716.pdf
025/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,VALDELICIA R. DA SILVA SERV. DE BUFFET ME,"R$ 19.620,00",1454,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1454,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1454/1559161581.pdf,1559161581.pdf
024/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,H BOY OTZ JUNIOR COMÉRCIO E SERVIÇOS ME,"R$ 266.232,00",1439,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1439,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1439/1557990864.pdf,1557990864.pdf
023/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,VITALIS COMERCIO DE MATERIAL HOSPITALAR LTDA,"R$ 726.960,00",1450,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1450,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1450/1558747070.pdf,1558747070.pdf
021/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,RENYLAB QUÍMICA E FARMACÊUTICA LTDA,"R$ 3.000,00",1416,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1416,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1416/1555353665.pdf,1555353665.pdf
020/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,FGF COMÉRCIO E SERVIÇOS DE ESTERILIZAÇÃO EM ÓXIDO DE ETILENO LTDA,"R$ 631.200,00",1418,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1418,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1418/1555441018.pdf,1555441018.pdf
019/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,INTERNACIONAL PHARMACEUTICAL IMUMUNOLOGY DO BRASIL LTDA,"R$ 9.032,00",1419,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1419,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1419/1555529111.pdf,1555529111.pdf
018/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MED SAUDE SERVIÇOS DE INTERNAÇÕES DOMICILIARES LTDA,"R$ 680.400,00",1407,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1407,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1407/1553869146.pdf,1553869146.pdf
017/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,PHILIPS MEDICAL SYSTEMS LTDA,"R$ 331.340,88",1408,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1408,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1408/1553816630.pdf,1553816630.pdf
016/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,ALCYR ALVES FERREIRA & CIA LTDA,"R$ 8.714,70",1406,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1406,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1406/1553805714.pdf,1553805714.pdf
015/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,CINCO - CONFIANÇA INDÚSTRIA E COMERCIO LTDA,"R$ 60.000,00",1405,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1405,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1405/1553868037.pdf,1553868037.pdf
014/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,MARTELL COMÉRCIO DE PRODUTOS HOSPITALARES LTDA,"R$ 5.199,48",1404,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1404,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1404/1553796164.pdf,1553796164.pdf
013/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA,"R$ 1.224.653,40",1403,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1403,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1403/1553843009.pdf,1553843009.pdf
012/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Obras e Serviços de Engenharia,ENGE-CAMPOS CONTRUÇÕES EIRELLI,"R$ 162.207,38",1398,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1398,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1398/1552599962.pdf,1552599962.pdf
011/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,TOMOGRAFIA MACAÉ LTDA,"R$ 1.344.998,60",1397,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1397,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1397/1552535751.pdf,1552535751.pdf
011/2019-FMS,Fundo Municipal de Saúde – FMS,1º Aditivo,Prestação de Serviços,TOMOGRAFIA MACAÉ LTDA,"R$ 313.360,00",1571,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1571,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1571/1572403905.pdf,1572403905.pdf
010/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MEDICORDIGITAL TECNOLOGIA LTDA,"R$ 213.299,76",1396,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1396,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1396/1552568432.pdf,1552568432.pdf
009/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,EBERSON S. GONÇALVES - ME,"R$ 105.999,96",1395,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1395,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1395/1552552782.pdf,1552552782.pdf
008/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MACSERVICES LOCAÇÃO DE VEICULOS LTDA,"R$ 167.400,00",1393,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1393,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1393/1552151115.pdf,1552151115.pdf
007/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,HBOY OTZ JUNIOR COMÉRCIO E SERVIÇOS ME,"R$ 184.140,00",1401,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1401,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1401/1553165667.pdf,1553165667.pdf
006/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,AATR LOCAÇÃO DE VEICULOS ESPECIAIS LTDA ME,"R$ 886.800,00",1391,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1391,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1391/1552075381.pdf,1552075381.pdf
005/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,UNI-SOS EMERGÊNCIAS MEDICAS LTDA EPP,"R$ 1.008.000,00",1392,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1392,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1392/1552096857.pdf,1552096857.pdf
004/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,MAIS SAÚDE HOME CARE LTDA ME,"R$ 141.372,00",1374,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1374,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1374/1549742232.pdf,1549742232.pdf
