,CNPJ/CPF,Nome,Unnamed: 0,Valor Anulado,Valor Em LiquidaÃ§Ã£o,Valor Empenhado,Valor Liquidado,Valor Pago,ano,download_status
68,999.999.999-99,AAEMEI ALCINA MUZZY DE JESUS,68.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
69,999.999.999-99,AAEMEI AMCORIN,69.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
70,11.948.717/0001-86,AAEMEI ATTILA DE AGUIAR MALTEZ JUNIOR,70.0,"R$ 0,00","R$ 0,00","R$ 12.000,00","R$ 12.000,00","R$ 12.000,00",2018,1
71,999.999.999-99,AAEMEI CLEIDE CANELA DE SOUZA,71.0,"R$ 0,00","R$ 0,00","R$ 16.080,00","R$ 16.080,00","R$ 16.080,00",2018,1
72,999.999.999-99,AAEMEI DR. JUVENTINO DA SILVA PACHECO,72.0,"R$ 0,00","R$ 0,00","R$ 11.580,00","R$ 11.580,00","R$ 11.580,00",2018,1
73,999.999.999-99,AAEMEI ELEA TATAGIBA DE AZEVEDO,73.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -7,51",2018,0
74,11.763.245/0001-97,AAEMEI MAI CARMEN DE JESUS FRANCA,74.0,"R$ 0,00","R$ 0,00","R$ 4.020,00","R$ 4.020,00","R$ 4.020,00",2018,1
75,11.652.785/0001-01,AAEMEI MAI MARIA CECILIA TOURINHO FURTADO,75.0,"R$ 0,00","R$ 0,00","R$ 31.200,00","R$ 31.200,00","R$ 31.200,00",2018,1
76,11.763.283/0001-40,AAEMEI NOSSA SENHORA DA CONCEICAO,76.0,"R$ 0,00","R$ 0,00","R$ 15.720,00","R$ 15.720,00","R$ 15.720,00",2018,1
77,11.739.308/0001-70,AAEMEI OLIMPIA RIBEIRO DOS SANTOS MACHADO,77.0,"R$ 0,00","R$ 0,00","R$ 7.440,00","R$ 7.440,00","R$ 7.440,00",2018,1
78,12.627.221/0001-73,AAEMEI PROF. MARIA DE MARIS SARMENTO TORRES,78.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
79,999.999.999-99,AAEMEI PROFÂª ANA CRISTINA FERREIRA AZARANY ALMEIDA,79.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -2.505,00",2018,0
80,12.210.958/0001-96,AAEMEI PROFa ANGELA MARIA FELIX PEREIRA,80.0,"R$ 0,00","R$ 0,00","R$ 7.200,00","R$ 7.200,00","R$ 7.200,00",2018,1
81,999.999.999-99,AAEMEI PROFÂª ARLETE RIBEIRO JOSE,81.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
82,999.999.999-99,AAEMEI PROFÂª CELITA REID FERNANDES,82.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
83,11.739.328/0001-40,AAEMEI PROFa ESMERIA PEREIRA REID DOS SANTOS,83.0,"R$ 0,00","R$ 0,00","R$ 20.340,00","R$ 20.340,00","R$ 20.339,00",2018,1
84,999.999.999-99,AAEMEI PROFÂª GESIA DE OLIVEIRA - USAR COD 10658,84.0,"R$ 2.772,00","R$ 0,00","R$ 2.772,00","R$ 0,00","R$ 0,00",2018,1
85,999.999.999-99,AAEMEI PROFÂª LAURA SUELI DE CAMPOS BACELAR,85.0,"R$ 0,00","R$ 0,00","R$ 16.020,00","R$ 16.020,00","R$ 16.020,00",2018,1
86,999.999.999-99,AAEMEI PROFÂª LEDA MARIA LEDO ESTEVES,86.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
87,999.999.999-99,AAEMEI PROFÂª LIA KOPP FRANCO (USA O COD. 10881),87.0,"R$ 0,00","R$ 0,00","R$ 10.920,00","R$ 10.920,00","R$ 10.920,00",2018,1
88,999.999.999-99,AAEMEI PROFa MARIA ANG. DE OLIVEIRA DAS DORES,88.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
89,999.999.999-99,AAEMEI PROFÂª MARIA DA CONCEICAO CARVALHO,89.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
90,12.058.936/0001-52,AAEMEI PROFÂª MARIA DAS DORES SOUZA TAVARES,90.0,"R$ 0,00","R$ 0,00","R$ 6.060,00","R$ 6.060,00","R$ 5.740,00",2018,1
91,999.999.999-99,AAEMEI PROFa MARIA DAS GRACAS DA SILVA RIBEIRO,91.0,"R$ 0,00","R$ 0,00","R$ 13.380,00","R$ 13.380,00","R$ -300,00",2018,1
92,999.999.999-99,AAEMEI PROFÂª MARIA JOSE FERREIRA BARROS,92.0,"R$ 0,00","R$ 0,00","R$ 8.160,00","R$ 8.160,00","R$ 8.160,00",2018,1
93,999.999.999-99,AAEMEI PROFÂª MARIA LIRA BERALDINI CAMPOS,93.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
94,999.999.999-99,AAEMEI PROFÂª MARIA MAGDALA AGOSTINHO CIPRIANE,94.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
95,999.999.999-99,AAEMEI PROFÂª MARLI VASCONCELOS LEMOS,95.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
96,11.976.378/0001-41,AAEMEI PROFa NEIVA MARIANO DOS SANTOS,96.0,"R$ 0,00","R$ 0,00","R$ 6.060,00","R$ 6.060,00","R$ 6.060,00",2018,1
97,999.999.999-99,AAEMEI PROFESSOR EMILSON DE JESUS MACHADO,97.0,"R$ 0,00","R$ 0,00","R$ 31.380,00","R$ 31.380,00","R$ 31.380,00",2018,1
98,11.821.399/0001-98,AAEMEI PROFESSORA THEREZINHA CARVALHO MOREIRA,98.0,"R$ 0,00","R$ 0,00","R$ 5.460,00","R$ 5.460,00","R$ 5.460,00",2018,1
99,11.739.287/0001-92,AAEMEI WANDERLEY QUINTINO TEIXEIRA,99.0,"R$ 0,00","R$ 0,00","R$ 17.040,00","R$ 17.040,00","R$ 17.040,00",2018,1
